year,focus_n,Individual/Group Harm,Info & Epistemic Harm,Socioeconomic Harm,Physical Harm,Abstract Harm,Bias & Inequity,Security & Resilience,Transparency & Accountability,Alignment,Governance
2016,11,0.0%,0.0%,0.0%,0.0%,54.5%,0.0%,54.5%,9.1%,0.0%,0.0%
2017,30,3.3%,0.0%,0.0%,3.3%,80.0%,3.3%,46.7%,3.3%,16.7%,0.0%
2018,111,4.5%,0.0%,1.8%,3.6%,79.3%,2.7%,69.4%,8.1%,8.1%,1.8%
2019,194,4.1%,0.5%,0.5%,1.0%,70.6%,3.1%,70.6%,9.3%,7.7%,1.5%
2020,310,6.1%,0.0%,1.6%,3.2%,78.1%,4.5%,61.3%,8.1%,6.1%,1.3%
2021,403,8.4%,0.2%,1.7%,2.7%,67.5%,9.2%,56.1%,5.0%,6.5%,0.0%
2022,515,11.7%,1.0%,3.1%,2.1%,70.3%,10.1%,49.1%,8.3%,6.6%,2.1%
2023,597,8.7%,0.7%,2.7%,2.2%,71.9%,9.5%,44.6%,8.2%,11.4%,1.0%
2024,1115,13.1%,3.0%,6.2%,2.2%,68.4%,9.0%,38.0%,7.1%,29.5%,2.8%
2025,1773,12.0%,1.9%,5.2%,3.4%,61.9%,5.5%,31.5%,5.8%,33.3%,2.7%
