"year","Individual/Group Harm","Info & Epistemic Harm","Socioeconomic Harm","Physical Harm","Abstract Harm","Reliability & Robustness","Bias & Inequity","Security & Resilience","Transparency & Accountability","Alignment","Governance"
2015,0,0,0,0,88.2352941176471,47.0588235294118,0,17.6470588235294,0,0,0
2016,14.8148148148148,0,3.7037037037037,0,77.7777777777778,37.037037037037,22.2222222222222,22.2222222222222,3.7037037037037,14.8148148148148,0
2017,14.0625,1.5625,4.6875,1.5625,78.125,46.875,17.1875,21.875,9.375,15.625,0
2018,17.8010471204188,1.04712041884817,7.85340314136126,2.09424083769634,77.4869109947644,58.1151832460733,23.0366492146597,40.8376963350785,9.94764397905759,10.9947643979058,3.1413612565445
2019,20.9169054441261,1.43266475644699,8.02292263610315,0.859598853868195,69.6275071633238,55.5873925501433,23.7822349570201,40.974212034384,10.0286532951289,13.1805157593123,4.01146131805158
2020,16.1100196463654,0.589390962671906,8.05500982318271,1.96463654223969,73.8703339882122,60.9037328094303,21.4145383104126,39.2927308447937,13.1630648330059,8.64440078585462,4.91159135559921
2021,19.9115044247788,0.589970501474926,6.63716814159292,1.76991150442478,66.6666666666667,59.4395280235988,21.8289085545723,36.4306784660767,9.43952802359882,10.4719764011799,3.53982300884956
2022,24.0802675585284,1.44927536231884,9.81047937569677,1.44927536231884,64.9944258639911,57.4136008918618,24.5261984392419,31.2151616499443,11.5942028985507,12.3745819397993,7.46934225195095
2023,21.3345864661654,0.75187969924812,8.08270676691729,1.40977443609023,67.9511278195489,56.109022556391,23.2142857142857,28.4774436090226,10.8082706766917,13.1578947368421,7.04887218045113
2024,21.0813762971054,2.45767340251229,9.72146368104861,1.36537411250683,65.5379574003277,60.8956854178045,17.8590933915893,27.198252321136,8.62916439104315,29.3828509011469,5.62534134352813
2025,18.8350191838158,1.63934426229508,8.44087896756191,2.26717823508894,59.2954307638647,61.8416463201953,11.9288454830834,23.9972096267876,7.95256365538891,31.5312173003139,5.47610742936868
